score	score_invoice	adjusted	latency_s	cost_usd	backend	model	errors	invoices	report	per_field_json	description
0.7329	0.7340	0.7304	331.6	0.0306	mistral	mistral-small-latest	0	39	run_20260713_124359.md	{"Vendor": 0.8572900838787126, "Vendor Physical Address": 0.9137518269247324, "Vendor Phone Number": 0.8888535706717525, "Vendor Fax Number": 0.9010989010989012, "Invoice No": 0.8419669669669669, "Invoice Date": 0.8657588026009077, "Total Quantity": 0.4911242603550296, "Invoice Amount": 0.8352869352869353, "Document Type": 0.9487179487179487, "Rows": 0.7216079061517902, "Vendor Email Address": 0.8975524475524476, "Adjustment": 0.7083333333333333, "Vendor Contact": 0.0, "Vendor Website": 0.7529761904761906, "Bottle Deposit": 1.0, "Vendor Phone Number 2": 1.0}	[train] backend=mistral model=mistral-small-latest
0.6450	0.7107	0.6450	27.1	0.0390	mistral	mistral-ocr-4	0	39	run_20260713_124931.md	{"Vendor": 0.8657057330973547, "Vendor Physical Address": 0.9292091541373946, "Vendor Phone Number": 0.9818181818181818, "Vendor Fax Number": 0.9780219780219781, "Invoice No": 0.8659373659373659, "Invoice Date": 0.8505605505605505, "Total Quantity": 0.44553853888695516, "Invoice Amount": 0.7933836996336995, "Document Type": 0.16777666777666794, "Rows": 0.640960447510179, "Vendor Email Address": 0.0, "Adjustment": 0.22000000000000003, "Vendor Contact": 0.0, "Vendor Website": 0.8958333333333333, "Bottle Deposit": 0.2, "Vendor Phone Number 2": 0.0}	[train] backend=mistral model=mistral-ocr-4
0.7758	0.7760	0.6758	3370.0	0.0866	openrouter	qwen/qwen2.5-vl-72b-instruct	0	39	run_20260713_124958.md	{"Vendor": 0.8962297673836136, "Vendor Physical Address": 0.966584955876173, "Vendor Phone Number": 0.9881542699724518, "Vendor Fax Number": 0.9780219780219781, "Invoice No": 0.921921921921922, "Invoice Date": 0.9073371073371073, "Total Quantity": 0.5512820512820513, "Invoice Amount": 0.9045177045177044, "Document Type": 1.0, "Rows": 0.7624438985018138, "Vendor Email Address": 0.9924242424242425, "Adjustment": 0.7466666666666667, "Vendor Contact": 0.0, "Vendor Website": 0.9727891156462585, "Bottle Deposit": 0.8, "Vendor Phone Number 2": 1.0}	[train] backend=openrouter model=qwen/qwen2.5-vl-72b-instruct
0.8010	0.8420	0.7010	1700.1	0.1507	openrouter	google/gemini-2.5-pro	1	39	run_20260713_135703.md	{"Vendor": 0.9337215491061645, "Vendor Physical Address": 0.951892621143958, "Vendor Phone Number": 0.9454545454545454, "Vendor Fax Number": 0.954945054945055, "Invoice No": 0.8901758901758902, "Invoice Date": 0.9538461538461539, "Total Quantity": 0.5, "Invoice Amount": 0.9341880341880341, "Document Type": 0.9743589743589743, "Rows": 0.7915108216868918, "Vendor Email Address": 1.0, "Adjustment": 0.7666666666666667, "Vendor Contact": 0.0, "Vendor Website": 1.0, "Bottle Deposit": 0.6, "Vendor Phone Number 2": 1.0}	[train] backend=openrouter model=google/gemini-2.5-pro
0.0533	0.0896	0.0278	511.1	0.0000	azure	prebuilt-invoice	1	39	run_20260713_142523.md	{"Vendor": 0.8879727871107181, "Vendor Physical Address": 0.9009217882522211, "Vendor Phone Number": 0.0, "Vendor Fax Number": 0.0, "Invoice No": 0.8437785611698655, "Invoice Date": 0.8128205128205128, "Total Quantity": 0.0, "Invoice Amount": 0.7831908831908831, "Document Type": 0.0, "Rows": 0.005511539786427834, "Vendor Email Address": 0.0, "Adjustment": 0.0, "Vendor Contact": 0.0, "Vendor Website": 0.0, "Bottle Deposit": 0.0, "Vendor Phone Number 2": 0.0}	[train] backend=azure model=prebuilt-invoice
0.7457	0.7762	0.7450	308.8	0.2022	openrouter	google/gemini-2.5-flash	0	39	run_20260713_145936.md	{"Vendor": 0.9261284477630632, "Vendor Physical Address": 0.9200014739985736, "Vendor Phone Number": 0.9515151515151514, "Vendor Fax Number": 0.9318681318681319, "Invoice No": 0.9178464178464179, "Invoice Date": 0.9689976689976688, "Total Quantity": 0.28205128205128205, "Invoice Amount": 0.8865689865689865, "Document Type": 1.0, "Rows": 0.7321919566941066, "Vendor Email Address": 1.0, "Adjustment": 0.8083333333333332, "Vendor Contact": 0.0, "Vendor Website": 0.9032258064516129, "Bottle Deposit": 0.8, "Vendor Phone Number 2": 1.0}	[train] backend=openrouter model=google/gemini-2.5-flash
0.7345	0.7395	0.7327	325.8	0.0306	mistral	mistral-small-latest	0	39	run_20260713_151412.md	{"Vendor": 0.8572900838787126, "Vendor Physical Address": 0.9137518269247324, "Vendor Phone Number": 0.8888535706717525, "Vendor Fax Number": 0.9010989010989012, "Invoice No": 0.8419669669669669, "Invoice Date": 0.8657588026009077, "Total Quantity": 0.623931623931624, "Invoice Amount": 0.8352869352869353, "Document Type": 0.9487179487179487, "Rows": 0.7216079061517902, "Vendor Email Address": 0.8975524475524476, "Adjustment": 0.7083333333333333, "Vendor Contact": 0.0, "Vendor Website": 0.7529761904761906, "Bottle Deposit": 1.0, "Vendor Phone Number 2": 1.0}	[train] backend=mistral model=mistral-small-latest
0.7994	0.7865	0.7952	344.7	0.0318	mistral	mistral-small-latest	0	39	run_20260713_152122.md	{"Vendor": 0.8731019692558153, "Vendor Physical Address": 0.9321311377518611, "Vendor Phone Number": 0.9130959949141768, "Vendor Fax Number": 0.9703296703296704, "Invoice No": 0.836979836979837, "Invoice Date": 0.8345011713432765, "Total Quantity": 0.670940170940171, "Invoice Amount": 0.8352869352869353, "Document Type": 0.9487179487179487, "Rows": 0.7935916549808384, "Vendor Email Address": 0.8975524475524476, "Adjustment": 0.6666666666666667, "Vendor Contact": 0.0, "Vendor Website": 0.7529761904761906, "Bottle Deposit": 1.0, "Vendor Phone Number 2": 1.0}	[train] backend=mistral model=mistral-small-latest | exp2: +Universal Product Code +Discount Type in Rows prompt
0.8021	0.7951	0.7997	330.9	0.0314	mistral	mistral-small-latest	0	39	run_20260713_152954.md	{"Vendor": 0.8908268369806831, "Vendor Physical Address": 0.9206874791545021, "Vendor Phone Number": 0.9161262979444798, "Vendor Fax Number": 0.9703296703296704, "Invoice No": 0.8423852423852425, "Invoice Date": 0.8454790823211875, "Total Quantity": 0.6025641025641025, "Invoice Amount": 0.8572649572649572, "Document Type": 0.9487179487179487, "Rows": 0.7966881216162105, "Vendor Email Address": 0.8975524475524476, "Adjustment": 0.7083333333333333, "Vendor Contact": 0.0, "Vendor Website": 0.7529761904761906, "Bottle Deposit": 1.0, "Vendor Phone Number 2": 1.0}	[train] backend=mistral model=mistral-small-latest | exp3: Rows column semantics (UnitPerCase/Cases/Pieces meanings, Qty mirroring, DiscountType dollar/percent); drop SKU
